Gas_Symbol,Gas_name
SF5+,haqzduwrnkkmqy-uhfffaoysa-n
SF5-,haqzduwrnkkmqy-uhfffaoysa-n
(SF6)2-,sulfur hexafluoride
(SF6)3-,sulfur hexafluoride
SF6-,hexafluoro-lambda6-sulfane
SH-,sulfanide
SO2F-,fluorosulfinate
SO2+,sulfur dioxide
SO3-,sulfite
32S+,sulfane
28Si+,silicon
205Tl+,thallium
238U+,uranium
132Xe+,xenon
132Xe2+,xenon
